,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41331,0,83,29,0,12,0,0,2500,500,0,1,2022,0,3
41332,0,117,0,0,250,0,100,1500,1200,0,1,2022,0,3
41333,0,159,0,0,17,0,0,2900,0,0,1,2022,0,3
41334,0,161,0,0,28,0,0,1300,500,0,1,2022,0,3
41335,0,165,0,0,18,0,0,4700,0,0,1,2022,0,3
41336,0,183,0,0,19,0,0,1200,500,0,1,2022,0,3
41337,0,190,0,0,52,0,0,0,1060,0,1,2022,0,3
41338,0,199,0,0,15,0,0,1900,0,0,1,2022,0,3
41339,0,238,85,0,49,0,3600,2100,0,0,1,2022,0,3
41340,0,258,0,0,11,0,0,3800,0,0,1,2022,0,3
41341,0,268,139,0,139,0,140,3840,3826,1,1,2022,0,3
41342,0,287,0,0,24,0,833,3452,712,0,1,2022,0,3
41343,0,290,32,0,28,0,0,0,200,0,1,2022,0,3
41344,0,309,0,0,54,0,3200,1200,600,0,1,2022,0,3
41345,0,317,0,0,51,0,207,0,212,0,1,2022,0,3
41346,0,328,0,0,43,0,0,10000,2000,0,1,2022,0,3
41347,0,334,0,0,145,0,700,0,500,0,1,2022,0,3
41348,0,340,0,0,76,0,0,2700,700,0,1,2022,0,3
41349,1,347,0,0,382,0,2000,2600,8700,0,1,2022,0,3
41350,1,349,0,0,443,0,0,1300,12000,0,1,2022,0,3
41351,1,352,0,0,612,0,500,10500,12500,0,1,2022,0,3
41352,1,353,0,0,263,0,4500,4500,2800,0,1,2022,0,3
41353,1,354,277,0,262,0,0,1000,5600,0,1,2022,0,3
41354,1,356,0,0,265,0,2000,4000,3000,0,1,2022,0,3
41355,1,357,0,0,302,0,1000,4200,5800,0,1,2022,0,3
41356,1,358,0,0,348,0,2000,0,6000,0,1,2022,0,3
41357,1,359,0,0,240,0,0,15000,7000,0,1,2022,0,3
41358,1,360,0,0,399,0,1000,4000,15000,0,1,2022,0,3
41359,1,361,0,0,405,0,1000,5000,13000,0,1,2022,0,3
41360,1,364,0,0,324,0,0,6000,10300,0,1,2022,0,3
41361,1,365,0,0,219,0,1700,1400,5000,0,1,2022,0,3
41362,1,366,0,0,155,0,1000,2500,1200,0,1,2022,0,3
41363,1,367,0,0,260,0,500,5000,6500,0,1,2022,0,3
41364,1,368,0,0,273,0,0,5000,5200,0,1,2022,0,3
41365,1,369,0,0,350,0,1000,400,1300,0,1,2022,0,3
41366,1,370,0,0,463,0,400,3400,9300,0,1,2022,0,3
41367,1,371,0,0,282,0,1000,2000,3000,0,1,2022,0,3
41368,1,372,0,0,238,0,1000,300,3900,0,1,2022,0,3
41369,1,373,0,0,565,0,2000,5000,6300,0,1,2022,0,3
41370,1,376,0,0,149,0,100,1000,2300,0,1,2022,0,3
41371,1,377,420,0,317,0,0,2300,3500,0,1,2022,0,3
41372,1,378,0,0,109,0,2000,6000,3000,0,1,2022,0,3
41373,1,379,435,0,333,0,1900,2000,7300,0,1,2022,0,3
41374,1,380,180,0,131,0,2000,1300,1800,0,1,2022,0,3
41375,2,386,0,0,598,0,1300,2800,6400,0,1,2022,0,3
41376,2,387,0,0,332,0,0,2000,5000,0,1,2022,0,3
41377,2,389,0,0,406,0,2000,15800,11000,0,1,2022,0,3
41378,2,390,0,0,362,0,2000,8000,21000,0,1,2022,0,3
41379,2,391,0,0,570,0,1000,13000,25000,0,1,2022,0,3
41380,1,398,0,0,308,0,1000,2500,6000,0,1,2022,0,3
41381,1,399,0,0,380,0,0,8500,6100,0,1,2022,0,3
41382,1,400,0,0,410,0,0,5000,7400,0,1,2022,0,3
41383,0,401,0,0,448,0,2000,12000,8000,0,1,2022,0,3
41384,1,406,0,0,338,0,2000,2000,6000,0,1,2022,0,3
41385,1,407,0,0,311,0,400,2700,7200,0,1,2022,0,3
41386,0,2,0,0,109,0,0,900,100,0,1,2022,1,3
41387,0,34,0,0,130,0,0,2600,1300,0,1,2022,1,3
41388,0,38,0,0,123,0,1000,2000,3000,0,1,2022,1,3
41389,0,53,0,0,45,0,0,2100,3500,0,1,2022,1,3
41390,0,80,0,0,17,0,2000,1000,1000,0,1,2022,1,3
41391,0,83,0,0,99,0,200,600,400,0,1,2022,1,3
41392,0,105,0,0,38,0,7500,3200,1900,0,1,2022,1,3
41393,0,117,0,0,260,0,0,400,1200,0,1,2022,1,3
41394,0,141,14,0,11,0,723,411,240,0,1,2022,1,3
41395,0,152,0,0,9,0,0,4500,0,0,1,2022,1,3
41396,0,157,0,0,13,0,0,436,218,0,1,2022,1,3
41397,0,159,0,0,21,0,0,3000,0,0,1,2022,1,3
41398,0,161,0,0,21,0,0,3700,800,0,1,2022,1,3
41399,0,165,0,0,18,0,0,5600,0,0,1,2022,1,3
41400,0,183,0,0,23,0,0,1100,600,0,1,2022,1,3
41401,0,190,0,0,55,0,0,0,1460,0,1,2022,1,3
41402,0,199,0,0,18,0,0,3600,0,0,1,2022,1,3
41403,0,216,0,0,69,0,0,4200,1100,1,1,2022,1,3
41404,0,238,85,0,49,0,4100,3500,0,0,1,2022,1,3
41405,0,258,0,0,12,0,0,4400,0,0,1,2022,1,3
41406,0,268,140,0,140,0,2178,1660,2256,1,1,2022,1,3
41407,0,287,0,0,28,0,749,4942,1203,0,1,2022,1,3
41408,0,290,38,0,36,0,0,0,400,0,1,2022,1,3
41409,0,309,0,0,54,0,3600,4500,1800,0,1,2022,1,3
41410,0,317,0,0,60,0,318,0,206,0,1,2022,1,3
41411,0,328,0,0,68,0,0,20000,4000,0,1,2022,1,3
41412,0,334,0,0,170,0,600,0,300,0,1,2022,1,3
41413,0,340,0,0,92,0,0,2000,700,0,1,2022,1,3
41414,1,347,0,0,363,0,1000,4000,6000,0,1,2022,1,3
41415,1,349,0,0,410,0,0,500,11000,0,1,2022,1,3
41416,1,352,0,0,603,0,1800,12600,12300,0,1,2022,1,3
